Table S-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Expenditures per Pupil for Elementary and Secondary Public Schools, by state: 1993–2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Public school expenditures ($thousands),,,,,,,,,,,,,,,,,,,,,,,,,Student enrollment,,,,,,,,,,,,,,,,,,,,,,,,,Per-pupil expenditures (Dollars),,,,,,,,,,,,,,,,,,,,,,,
State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Louisiana,"3,199,842","3,309,020","3,475,926","3,545,832","3,747,507","4,030,379","4,264,981","4,391,189","4,485,878","4,802,565","5,056,583","5,290,964","5,554,766","5,554,278","6,040,368","6,814,455","7,276,651","7,393,452","7,522,098","7,544,782","7,492,539","7,721,469","7,960,448","8,027,058",,"797,985","800,560","797,933","797,366","793,296","776,813","768,734","756,579","743,089","731,328","730,464","727,709","724,281","654,526","675,851","681,038","684,873","690,915","696,558","703,390","710,903","711,491","716,800","718,711",,"4,010","4,133","4,356","4,447","4,724","5,188","5,548","5,804","6,037","6,567","6,922","7,271","7,669","8,486","8,937","10,006","10,625","10,701","10,799","10,726","10,539","10,853","11,106","11,169"
Maine,"1,217,418","1,208,411","1,281,706","1,313,759","1,351,500","1,433,175","1,510,024","1,604,438","1,704,422","1,812,798","1,909,268","1,969,497","2,056,266","2,119,408","2,258,764","2,308,071","2,350,447","2,370,085","2,377,878","2,330,842","2,357,739","2,441,064","2,538,313","2,579,299",,"216,453","216,995","212,601","213,569","213,593","212,579","211,051","209,253","207,037","205,586","204,337","202,084","198,820","195,498","193,986","196,245","192,935","189,225","189,077","188,969","185,739","183,995","182,470","181,613",,"5,624","5,569","6,029","6,151","6,327","6,742","7,155","7,667","8,232","8,818","9,344","9,746","10,342","10,841","11,644","11,761","12,183","12,525","12,576","12,335","12,694","13,267","13,911","14,202"
Maryland,"4,556,233","4,783,023","5,083,380","5,311,207","5,529,309","5,843,685","6,165,934","6,545,135","7,041,586","7,480,723","7,933,055","8,198,454","8,682,586","9,381,613","10,210,303","11,211,176","11,591,965","11,883,677","11,885,333","11,850,634","12,108,546","12,314,446","12,620,036","12,774,063",,"751,850","772,638","790,938","805,544","818,583","830,744","841,671","846,582","852,920","860,640","866,743","869,113","865,561","860,020","851,640","845,700","843,861","848,412","852,211","854,086","859,638","866,169","874,514","879,601",,"6,060","6,191","6,427","6,593","6,755","7,034","7,326","7,731","8,256","8,692","9,153","9,433","10,031","10,909","11,989","13,257","13,737","14,007","13,946","13,875","14,086","14,217","14,431","14,523"
Massachusetts,"5,281,067","5,637,337","6,062,303","6,435,458","6,846,610","7,381,784","7,948,502","8,564,039","9,272,387","9,957,292","10,281,820","10,799,765","11,357,857","11,747,010","12,383,447","13,182,987","13,937,097","13,356,373","13,962,366","14,151,659","14,627,898","15,183,018","15,723,617","16,374,676",,"859,948","877,726","893,727","915,007","933,898","949,006","962,317","971,425","975,150","973,140","982,989","980,459","975,574","971,909","968,661","962,958","958,910","957,053","955,563","953,369","954,773","955,739","955,844","964,026",,"6,141","6,423","6,783","7,033","7,331","7,778","8,260","8,816","9,509","10,232","10,460","11,015","11,642","12,087","12,784","13,690","14,534","13,956","14,612","14,844","15,321","15,886","16,450","16,986"
Michigan,"9,532,994","9,816,830","10,440,206","11,137,877","11,686,124","12,003,818","12,785,480","13,994,294","14,243,597","14,975,150","15,674,698","15,983,044","16,353,921","16,681,981","17,013,259","17,053,521","17,217,584","17,227,515","16,786,444","16,485,178","16,354,807","16,493,575","16,849,135","16,977,163",,"1,603,610","1,599,377","1,614,784","1,641,456","1,685,714","1,702,717","1,720,287","1,725,639","1,720,626","1,730,668","1,785,160","1,757,604","1,751,290","1,742,282","1,722,656","1,692,739","1,659,921","1,649,082","1,587,067","1,573,537","1,555,370","1,548,841","1,537,922","1,536,231",,"5,945","6,138","6,465","6,785","6,932","7,050","7,432","8,110","8,278","8,653","8,781","9,094","9,338","9,575","9,876","10,075","10,373","10,447","10,577","10,477","10,515","10,649","10,956","11,051"
Minnesota,"4,135,284","4,328,093","4,622,930","4,844,879","5,087,353","5,452,571","5,816,329","6,140,442","6,531,198","6,586,559","6,867,403","7,084,005","7,310,284","7,686,638","8,060,410","8,426,264","9,182,281","8,927,288","8,944,867","9,053,021","9,354,376","9,723,759","10,222,017","10,687,048",,"793,724","810,233","821,693","835,166","847,204","853,621","856,455","854,034","854,340","851,384","846,891","842,854","838,503","839,243","840,565","837,578","836,048","837,053","838,037","839,738","845,404","850,973","857,235","864,384",,"5,210","5,342","5,626","5,801","6,005","6,388","6,791","7,190","7,645","7,736","8,109","8,405","8,718","9,159","9,589","10,060","10,983","10,665","10,674","10,781","11,065","11,427","11,924","12,364"
Mississippi,"1,600,752","1,725,386","1,921,480","2,000,321","2,035,675","2,164,592","2,293,188","2,510,376","2,576,457","2,642,116","2,853,531","3,059,569","3,243,888","3,550,261","3,692,358","3,898,401","3,967,232","3,990,876","3,887,981","3,972,787","4,006,798","4,071,006","4,145,632","4,234,977",,"506,668","505,907","505,962","506,272","503,967","504,792","502,379","500,716","497,871","493,507","492,645","493,540","495,376","494,954","495,026","494,122","491,962","492,481","490,526","490,619","493,650","492,586","490,917","487,200",,"3,159","3,410","3,798","3,951","4,039","4,288","4,565","5,014","5,175","5,354","5,792","6,199","6,548","7,173","7,459","7,890","8,064","8,104","7,926","8,097","8,117","8,265","8,445","8,692"
Missouri,"3,710,426","3,981,614","4,275,217","4,531,192","4,775,931","5,067,720","5,348,366","5,655,531","6,076,169","6,491,603","6,793,957","6,832,454","7,115,207","7,592,485","7,957,705","8,526,641","8,827,224","8,923,448","8,691,887","8,719,925","8,905,756","9,125,949","9,390,061","9,545,816",,"859,357","875,639","878,541","889,881","900,517","910,613","913,494","914,110","912,744","909,792","906,499","905,941","905,449","917,705","920,353","917,188","917,871","917,982","918,710","916,584","917,900","918,288","917,785","919,234",,"4,318","4,547","4,866","5,092","5,304","5,565","5,855","6,187","6,657","7,135","7,495","7,542","7,858","8,273","8,646","9,297","9,617","9,721","9,461","9,514","9,702","9,938","10,231","10,385"
Montana,"785,159","822,015","844,257","868,892","902,252","929,197","955,695","994,770","1,041,760","1,073,005","1,124,291","1,160,838","1,193,182","1,254,360","1,320,112","1,392,449","1,436,062","1,498,252","1,518,818","1,504,531","1,523,696","1,576,937","1,601,097","1,652,848",,"160,011","163,009","164,341","165,547","164,627","162,335","159,988","157,556","154,875","151,947","149,995","148,356","146,705","145,416","144,418","142,823","141,899","141,807","141,693","142,349","142,908","144,129","144,532","145,319",,"4,907","5,043","5,137","5,249","5,481","5,724","5,974","6,314","6,726","7,062","7,496","7,825","8,133","8,626","9,141","9,749","10,120","10,565","10,719","10,569","10,662","10,941","11,078","11,374"
Nebraska,"1,430,039","1,513,971","1,594,928","1,648,104","1,707,455","1,743,775","1,821,310","1,926,500","2,067,290","2,206,946","2,304,223","2,413,404","2,512,914","2,672,629","2,825,608","2,970,323","3,053,575","3,213,646","3,345,530","3,462,575","3,563,939","3,654,376","3,805,871","3,911,805",,"282,414","285,097","287,100","289,744","291,967","292,681","291,140","288,261","286,199","285,095","285,402","285,542","285,761","286,646","287,580","291,244","292,590","295,368","298,500","301,296","303,505","307,677","312,635","316,014",,"5,064","5,310","5,555","5,688","5,848","5,958","6,256","6,683","7,223","7,741","8,074","8,452","8,794","9,324","9,825","10,199","10,436","10,880","11,208","11,492","11,743","11,877","12,174","12,379"
