,State,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,StMean
38,Oregon,"5,585","5,522","5,649","5,790","5,920","6,419","6,828","7,149","7,528","7,642","7,491","7,618","8,069","8,645","8,958","9,565","9,611","9,268","9,516","9,485","9,183","9,524","9,927","10,247","7,964"
39,Pennsylvania,"6,372","6,443","6,565","6,922","7,106","7,209","7,450","7,772","8,210","8,537","8,997","9,708","10,235","10,723","10,905","11,741","12,299","12,729","13,096","13,091","13,445","13,824","14,405","15,165","10,123"
40,Rhode Island,"6,501","6,797","6,899","7,304","7,612","7,928","8,294","8,904","9,315","9,703","10,349","11,078","11,667","12,609","13,453","14,459","14,719","14,723","14,948","15,172","14,889","15,372","15,797","16,082","11,441"
41,South Carolina,"4,204","4,335","4,501","4,779","5,050","5,320","5,656","6,130","6,631","7,017","7,040","7,177","7,549","8,120","8,507","9,060","9,228","9,080","8,908","9,102","9,444","9,608","9,831","10,045","7,347"
42,South Dakota,"4,109","4,095","4,271","4,220","4,375","4,669","5,259","5,632","6,191","6,424","6,547","7,068","7,464","7,775","8,064","8,535","8,543","9,020","8,931","8,593","8,630","9,036","9,103","9,335","6,912"
43,Tennessee,"3,674","3,813","4,017","4,172","4,581","4,937","5,123","5,383","5,687","5,959","6,118","6,466","6,850","7,004","7,129","7,820","7,992","8,117","8,330","8,348","8,588","8,662","8,776","8,876","6,518"
44,Texas,"4,270","4,488","4,779","5,016","5,267","5,444","5,685","6,288","6,539","6,771","7,136","7,151","7,246","7,480","7,850","8,350","8,562","8,788","8,685","8,213","8,285","8,602","9,081","9,352","7,055"
45,Utah,"2,967","3,206","3,409","3,604","3,783","3,969","4,210","4,378","4,674","4,900","4,838","4,991","5,216","5,464","5,709","5,978","6,500","6,360","6,326","6,312","6,432","6,546","6,751","7,006","5,147"
46,Vermont,"6,342","6,266","6,367","6,488","6,753","7,075","7,541","8,323","9,153","9,806","10,454","11,211","11,972","12,805","13,629","14,421","15,096","15,666","14,707","16,651","17,286","18,066","18,769","19,023","11,828"
47,Virginia,"5,066","5,205","5,421","5,528","5,788","6,067","6,350","6,841","7,281","7,496","7,822","8,219","8,886","9,452","10,214","10,664","10,928","10,594","10,363","10,656","10,960","10,955","11,235","11,435","8,476"
48,Washington,"5,220","5,342","5,477","5,611","5,734","6,040","6,110","6,376","6,750","7,039","7,252","7,391","7,717","7,984","8,524","9,058","9,585","9,497","9,619","9,604","9,714","10,305","10,684","11,484","7,838"
49,West Virginia,"5,108","5,292","5,663","5,881","6,076","6,323","6,677","7,152","7,534","7,844","8,319","8,588","9,024","9,440","9,727","10,059","10,606","11,774","11,978","11,579","11,264","11,371","11,512","11,424","8,759"
50,Wisconsin,"5,974","6,126","6,301","6,517","6,796","7,123","7,527","7,806","8,243","8,634","9,004","9,240","9,755","9,993","10,300","10,709","11,097","11,423","11,846","11,141","11,186","11,345","11,538","11,664","9,220"
51,Wyoming,"5,462","5,534","5,753","5,826","5,971","6,218","6,842","7,425","7,835","8,645","8,985","9,308","10,190","11,437","13,200","13,790","14,552","15,140","15,711","15,896","15,722","15,815","16,047","16,431","10,739"
