,Fips,State,2008_x,2009_x,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017,1-year (2016-2017),5-year (2013-2017),10-year (2008-2017),gdp_mean,2008_y,2009_y,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2008,2009,2010,2011,2012,2013,2014,2015,2016,pop_mean
32,36000,New York,58532,59481,61259,61163,62769,62320,63174,64286,64522,65220,1.10%,4.70%,11.40%,62272.6,"16,794","17,746","18,167","18,857","19,396","19,529","20,156","20,744","21,818","2,765,435","2,740,592","2,766,052","2,734,955","2,704,718","2,710,703","2,732,770","2,741,185","2,711,626","2,734,226"
33,37000,North Carolina,45567,43160,43071,43169,42619,42909,43400,44180,44194,44706,1.20%,4.20%,-1.90%,43697.5,"7,709","8,463","8,225","8,267","8,160","8,342","8,287","8,529","8,717","1,489,492","1,488,645","1,483,397","1,490,605","1,507,864","1,518,465","1,530,857","1,548,895","1,544,934","1,511,462"
34,38000,North Dakota,48379,48858,52186,57120,68174,67755,70876,67618,64257,64911,1.00%,-4.20%,34.20%,61013.4,"9,324","9,802","10,519","10,898","11,246","11,615","12,383","12,884","13,358","95,059","94,728","95,073","96,323","97,646","101,111","103,947","106,586","108,644","99,902"
35,39000,Ohio,43548,41593,42673,44198,44911,45262,46671,47098,47419,48188,1.60%,6.50%,10.70%,45156.1,"10,340","10,669","11,224","11,395","11,323","11,276","11,434","11,730","11,933","1,827,184","1,817,163","1,764,297","1,754,191","1,740,030","1,729,916","1,724,111","1,724,810","1,716,585","1,755,365"
36,40000,Oklahoma,40048,38640,38304,39972,41880,43317,45418,46370,44418,44535,0.30%,2.80%,11.20%,42290.2,"7,683","7,878","7,929","7,631","7,763","7,914","7,995","8,075","8,091","642,065","645,108","654,802","659,911","666,120","673,483","681,848","688,511","692,878","667,192"
37,41000,Oregon,48508,47530,49614,51295,49461,48169,48130,49715,50751,51312,1.10%,6.50%,5.80%,49448.5,"9,565","9,611","9,268","9,516","9,485","9,183","9,524","9,927","10,247","565,586","575,393","582,839","570,720","568,208","587,564","593,000","601,318","608,825","583,717"
38,42000,Pennsylvania,46862,45312,46391,46877,47554,48289,49228,50489,50978,51841,1.70%,7.40%,10.60%,48382.1,"11,741","12,299","12,729","13,096","13,091","13,445","13,824","14,405","15,165","1,801,971","1,775,029","1,785,993","1,793,284","1,771,395","1,763,677","1,755,236","1,743,160","1,717,414","1,767,462"
39,44000,Rhode Island,45746,45280,46339,46023,46194,46367,46663,47519,47662,48314,1.40%,4.20%,5.60%,46610.7,"14,459","14,719","14,723","14,948","15,172","14,889","15,372","15,797","16,082","147,629","145,342","145,118","143,793","142,854","142,481","142,008","141,959","142,014","143,689"
40,45000,South Carolina,36834,34955,35126,35608,35359,35716,36325,36952,37269,37637,1.00%,5.40%,2.20%,36178.1,"9,060","9,228","9,080","8,908","9,102","9,444","9,608","9,831","10,045","712,317","718,113","723,143","725,838","727,186","735,998","745,657","756,523","763,533","734,256"
41,46000,South Dakota,45516,45457,45610,48034,47070,47003,47039,47980,48306,48004,-0.60%,2.10%,5.50%,47001.9,"8,535","8,543","9,020","8,931","8,593","8,630","9,036","9,103","9,335","121,606","126,429","123,713","126,128","128,016","130,471","130,890","133,040","134,253","128,283"
42,47000,Tennessee,40949,39096,39375,40201,41114,41513,41858,42902,43720,44348,1.40%,6.80%,8.30%,41507.6,"7,820","7,992","8,117","8,330","8,348","8,588","8,662","8,776","8,876","964,259","971,950","972,549","987,422","999,693","993,496","993,556","995,475","1,001,235","986,626"
43,48000,Texas,48282,47034,47422,48358,50253,52007,52879,54200,53104,53737,1.20%,3.30%,11.30%,50727.6,"8,350","8,562","8,788","8,685","8,213","8,285","8,602","9,081","9,352","4,674,832","4,752,148","4,850,210","4,935,715","5,000,470","5,077,659","5,153,702","5,233,765","5,301,477","4,997,775"
44,49000,Utah,43375,41563,41501,42002,41952,42306,43264,44392,44947,45493,1.20%,7.50%,4.90%,43079.5,"5,978","6,500","6,360","6,326","6,312","6,432","6,546","6,751","7,006","576,244","559,778","571,586","585,552","598,832","613,279","625,461","635,577","647,870","601,575"
45,50000,Vermont,41764,40855,42180,43160,43099,42989,43222,43605,44354,44831,1.10%,4.30%,7.30%,43005.9,"14,421","15,096","15,666","14,707","16,651","17,286","18,066","18,769","19,023","94,038","93,625","91,451","96,858","89,908","89,624","88,690","87,311","87,866","91,041"
46,51000,Virginia,51985,51389,51949,51770,51568,51112,50855,51486,51443,52124,1.30%,2.00%,0.30%,51568.1,"10,664","10,928","10,594","10,363","10,656","10,960","10,955","11,235","11,435","1,230,857","1,235,795","1,245,340","1,251,440","1,257,883","1,265,419","1,273,825","1,280,381","1,283,590","1,258,281"
47,53000,Washington,54939,52264,52694,52526,53473,54197,55338,56617,57796,59333,2.70%,9.50%,8.00%,54917.7,"9,058","9,585","9,497","9,619","9,604","9,714","10,305","10,684","11,484","1,030,247","1,037,018","1,035,347","1,043,788","1,045,453","1,051,694","1,058,936","1,073,638","1,087,030","1,051,461"
48,54000,West Virginia,34679,34564,35367,36086,35532,35772,36017,36233,36155,37353,3.30%,4.40%,7.70%,35775.8,"10,059","10,606","11,774","11,978","11,579","11,264","11,371","11,512","11,424","282,535","282,729","282,662","282,879","282,870","283,044","280,958","280,310","277,452","281,715"
49,55000,Wisconsin,44622,43215,44125,44936,45422,45895,46456,47268,48063,48666,1.30%,6.00%,9.10%,45866.8,"10,709","11,097","11,423","11,846","11,141","11,186","11,345","11,538","11,664","874,633","873,750","872,436","872,286","871,105","872,436","874,414","871,432","867,800","872,255"
50,56000,Wyoming,69182,66320,64618,63999,60794,60806,60853,61304,59327,61091,3.00%,0.50%,-11.70%,62829.4,"13,790","14,552","15,140","15,711","15,896","15,722","15,815","16,047","16,431","86,422","87,161","88,155","89,009","90,099","91,533","92,732","94,067","94,717","90,433"
